Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
CausalContinousSmallLogCopyModel,-32.0,-0.9,9.5,4.87,4.0,12,48.07,95,2000,fcfs
AverageOperationModel,1.0,-1.6,7.6,4.87,4.0,12,48.07,95,2000,fcfs
LogNormalDistributionModel,74.0,3.1,19.6,4.87,6.667,20,49.403,95,2000,fcfs
NormalDistributionModel,-34.0,-0.9,11.4,4.87,4.667,14,48.737,95,2000,fcfs
HistoDistributionModel,-59.0,-2.2,26.9,4.87,6.667,20,44.07,95,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19606.0,10.9,1.8,4.51,1300.0,1950,52.95,105,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.51,0.0,0,41.56,105,2000,fcfs
CausalContinousSmallLogCopyModel,-11.0,1.2,5.8,4.51,2.333,7,38.893,105,2000,fcfs
AverageOperationModel,-5.0,-2.6,8.0,4.51,3.667,11,37.56,105,2000,fcfs
LogNormalDistributionModel,-5.0,2.6,11.9,4.51,6.0,18,38.893,105,2000,fcfs
NormalDistributionModel,-26.0,3.7,18.1,4.51,6.667,20,38.893,105,2000,fcfs
HistoDistributionModel,74.0,1.6,39.7,4.51,3.333,10,38.893,105,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19936.0,4.4,0.7,4.4,1300.0,1950,51.717,88,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.4,0.0,0,44.667,88,2000,fcfs
CausalContinousSmallLogCopyModel,-5.0,-1.0,9.6,4.4,6.333,19,44.0,88,2000,fcfs
AverageOperationModel,8.0,-7.1,15.1,4.4,6.0,18,45.333,88,2000,fcfs
LogNormalDistributionModel,43.0,8.8,27.4,4.4,9.333,28,46.0,88,2000,fcfs
NormalDistributionModel,35.0,-5.1,11.8,4.4,5.667,17,43.333,88,2000,fcfs
HistoDistributionModel,4.0,-4.8,22.7,4.4,4.667,14,42.667,88,2000,fcfs
