job_id,operation_id,machine,start_time,duration,plan_duration,end_time
p60,4,a3_0,4545.0,18.0,18.0,4563.0
p61,1,a1_0,3798.0,15.0,18.0,3813.0
p61,2,a4_0,2493.0,45.0,45.0,2538.0
p61,3,a3_0,3870.0,18.0,15.0,3888.0
p61,4,a2_0,4545.0,30.0,30.0,4575.0
p61,5,a4_0,4575.0,15.0,15.0,4590.0
p62,1,a1_0,3813.0,15.0,18.0,3828.0
p62,2,a4_0,2583.0,54.0,54.0,2637.0
p62,3,a3_0,3888.0,18.0,15.0,3906.0
p62,4,a2_0,4575.0,36.0,30.0,4611.0
p62,5,a4_0,4611.0,18.0,15.0,4629.0
p63,1,a1_0,3831.0,30.0,36.0,3861.0
p63,2,a2_0,4611.0,45.0,45.0,4656.0
p63,3,a1_0,3867.0,18.0,18.0,3885.0
p63,4,a3_0,4656.0,18.0,18.0,4674.0
p64,1,a1_0,3885.0,30.0,30.0,3915.0
p64,2,a2_0,4692.0,45.0,45.0,4737.0
p64,3,a1_0,3915.0,15.0,18.0,3930.0
p64,4,a3_0,4737.0,15.0,18.0,4752.0
p65,1,a1_0,3933.0,36.0,30.0,3969.0
p65,2,a2_0,4737.0,45.0,54.0,4782.0
p65,3,a1_0,3969.0,18.0,15.0,3987.0
p65,4,a3_0,4785.0,18.0,18.0,4803.0
p66,1,a1_0,3987.0,18.0,18.0,4005.0
p66,2,a4_0,2637.0,45.0,45.0,2682.0
p66,3,a3_0,4005.0,15.0,18.0,4020.0
p66,4,a2_0,4785.0,30.0,30.0,4815.0
p66,5,a4_0,4815.0,18.0,18.0,4833.0
p67,1,a1_0,4005.0,15.0,18.0,4020.0
p67,2,a4_0,2682.0,45.0,54.0,2727.0
p67,3,a3_0,4053.0,18.0,18.0,4071.0
p67,4,a2_0,4815.0,30.0,30.0,4845.0
p67,5,a4_0,4845.0,18.0,18.0,4863.0
p68,1,a1_0,4020.0,18.0,18.0,4038.0
p68,2,a4_0,2736.0,45.0,54.0,2781.0
p68,3,a3_0,4071.0,15.0,18.0,4086.0
p68,4,a2_0,4845.0,36.0,36.0,4881.0
p68,5,a4_0,4881.0,15.0,18.0,4896.0
p69,1,a1_0,4038.0,30.0,30.0,4068.0
p69,2,a2_0,4881.0,45.0,54.0,4926.0
p69,3,a1_0,4068.0,15.0,15.0,4083.0
p69,4,a3_0,4935.0,15.0,18.0,4950.0
p70,1,a1_0,4083.0,15.0,15.0,4098.0
p70,2,a4_0,2790.0,45.0,45.0,2835.0
p70,3,a3_0,4104.0,18.0,18.0,4122.0
p70,4,a2_0,4935.0,30.0,30.0,4965.0
p70,5,a4_0,4965.0,15.0,18.0,4980.0
p71,1,a1_0,4116.0,30.0,36.0,4146.0
p71,2,a2_0,4965.0,45.0,54.0,5010.0
p71,3,a1_0,4146.0,18.0,18.0,4164.0
p71,4,a3_0,5019.0,15.0,18.0,5034.0
p72,1,a1_0,4164.0,18.0,15.0,4182.0
p72,2,a4_0,2889.0,54.0,54.0,2943.0
p72,3,a3_0,4227.0,18.0,18.0,4245.0
p72,4,a2_0,5019.0,36.0,30.0,5055.0
p72,5,a4_0,5055.0,18.0,18.0,5073.0
p73,1,a1_0,4182.0,18.0,18.0,4200.0
p73,2,a4_0,2943.0,54.0,45.0,2997.0
p73,3,a3_0,4245.0,15.0,15.0,4260.0
p73,4,a2_0,5055.0,30.0,36.0,5085.0
p73,5,a4_0,5085.0,18.0,15.0,5103.0
p74,1,a1_0,4200.0,18.0,18.0,4218.0
p74,2,a4_0,2997.0,54.0,45.0,3051.0
p74,3,a3_0,4260.0,18.0,18.0,4278.0
p74,4,a2_0,5121.0,36.0,36.0,5157.0
p74,5,a4_0,5157.0,18.0,18.0,5175.0
p75,1,a1_0,4218.0,15.0,15.0,4233.0
p75,2,a4_0,3051.0,54.0,54.0,3105.0
p75,3,a3_0,4296.0,18.0,18.0,4314.0
p75,4,a2_0,5157.0,36.0,36.0,5193.0
p75,5,a4_0,5193.0,15.0,18.0,5208.0
p76,1,a1_0,4233.0,36.0,36.0,4269.0
p76,2,a2_0,5193.0,54.0,54.0,5247.0
p76,3,a1_0,4269.0,15.0,18.0,4284.0
p76,4,a3_0,5247.0,15.0,18.0,5262.0
p77,1,a1_0,4284.0,15.0,15.0,4299.0
p77,2,a4_0,3105.0,45.0,45.0,3150.0
p77,3,a3_0,4350.0,18.0,15.0,4368.0
p77,4,a2_0,5247.0,36.0,30.0,5283.0
p77,5,a4_0,5283.0,15.0,18.0,5298.0
p78,1,a1_0,4299.0,15.0,15.0,4314.0
p78,2,a4_0,3150.0,54.0,45.0,3204.0
p78,3,a3_0,4368.0,18.0,18.0,4386.0
p78,4,a2_0,5283.0,30.0,36.0,5313.0
p78,5,a4_0,5313.0,18.0,18.0,5331.0
p79,1,a1_0,4314.0,30.0,36.0,4344.0
p79,2,a2_0,5313.0,54.0,54.0,5367.0
p79,3,a1_0,4350.0,18.0,18.0,4368.0
p79,4,a3_0,5367.0,15.0,18.0,5382.0
p80,1,a1_0,4368.0,36.0,30.0,4404.0
p80,2,a2_0,5367.0,54.0,45.0,5421.0
p80,3,a1_0,4404.0,15.0,18.0,4419.0
p80,4,a3_0,5421.0,15.0,15.0,5436.0
p81,1,a1_0,4455.0,36.0,36.0,4491.0
p81,2,a2_0,5421.0,45.0,54.0,5466.0
p81,3,a1_0,4491.0,18.0,18.0,4509.0
p81,4,a3_0,5466.0,18.0,18.0,5484.0
p82,1,a1_0,4509.0,30.0,30.0,4539.0
p82,2,a2_0,5520.0,45.0,45.0,5565.0
p82,3,a1_0,4539.0,18.0,18.0,4557.0
p82,4,a3_0,5565.0,18.0,15.0,5583.0
p83,1,a1_0,4572.0,15.0,15.0,4587.0
p83,2,a4_0,3204.0,54.0,54.0,3258.0
p83,3,a3_0,4587.0,15.0,15.0,4602.0
p83,4,a2_0,5565.0,30.0,30.0,5595.0
p83,5,a4_0,5595.0,18.0,15.0,5613.0
p84,1,a1_0,4587.0,36.0,30.0,4623.0
p84,2,a2_0,5595.0,45.0,54.0,5640.0
p84,3,a1_0,4623.0,15.0,15.0,4638.0
p84,4,a3_0,5640.0,15.0,15.0,5655.0
p85,1,a1_0,4638.0,18.0,15.0,4656.0
p85,2,a4_0,3258.0,54.0,45.0,3312.0
p85,3,a3_0,4674.0,18.0,18.0,4692.0
p85,4,a2_0,5640.0,30.0,30.0,5670.0
p85,5,a4_0,5670.0,15.0,15.0,5685.0
p86,1,a1_0,4656.0,18.0,15.0,4674.0
p86,2,a4_0,3312.0,54.0,54.0,3366.0
p86,3,a3_0,4692.0,18.0,15.0,4710.0
p86,4,a2_0,5670.0,36.0,36.0,5706.0
p86,5,a4_0,5706.0,15.0,15.0,5721.0
p87,1,a1_0,4674.0,30.0,36.0,4704.0
p87,2,a2_0,5706.0,54.0,54.0,5760.0
p87,3,a1_0,4704.0,15.0,15.0,4719.0
p87,4,a3_0,5760.0,18.0,18.0,5778.0
p88,1,a1_0,4719.0,18.0,15.0,4737.0
p88,2,a4_0,3366.0,45.0,45.0,3411.0
p88,3,a3_0,4752.0,18.0,18.0,4770.0
p88,4,a2_0,5760.0,30.0,36.0,5790.0
p88,5,a4_0,5796.0,15.0,15.0,5811.0
p89,1,a1_0,4737.0,15.0,18.0,4752.0
p89,2,a4_0,3411.0,45.0,54.0,3456.0
p89,3,a3_0,4770.0,15.0,18.0,4785.0
p89,4,a2_0,5796.0,30.0,36.0,5826.0
p89,5,a4_0,5832.0,15.0,15.0,5847.0
p90,1,a1_0,4752.0,15.0,18.0,4767.0
p90,2,a4_0,3456.0,45.0,54.0,3501.0
p90,3,a3_0,4803.0,18.0,15.0,4821.0
p90,4,a2_0,5832.0,30.0,30.0,5862.0
p90,5,a4_0,5862.0,18.0,18.0,5880.0
p91,1,a1_0,4803.0,15.0,18.0,4818.0
p91,2,a4_0,3501.0,54.0,54.0,3555.0
p91,3,a3_0,4821.0,15.0,18.0,4836.0
p91,4,a2_0,5862.0,30.0,36.0,5892.0
p91,5,a4_0,5898.0,18.0,15.0,5916.0
p92,1,a1_0,4818.0,36.0,36.0,4854.0
p92,2,a2_0,5952.0,45.0,45.0,5997.0
p92,3,a1_0,4854.0,18.0,18.0,4872.0
p92,4,a3_0,5997.0,18.0,18.0,6015.0
p93,1,a1_0,4890.0,18.0,15.0,4908.0
p93,2,a4_0,3555.0,54.0,54.0,3609.0
p93,3,a3_0,4953.0,15.0,18.0,4968.0
p93,4,a2_0,5997.0,36.0,30.0,6033.0
p93,5,a4_0,6033.0,15.0,18.0,6048.0
p94,1,a1_0,4908.0,15.0,18.0,4923.0
p94,2,a4_0,3609.0,54.0,54.0,3663.0
p94,3,a3_0,4971.0,15.0,15.0,4986.0
p94,4,a2_0,6033.0,30.0,36.0,6063.0
p94,5,a4_0,6063.0,18.0,18.0,6081.0
p95,1,a1_0,4923.0,30.0,36.0,4953.0
p95,2,a2_0,6063.0,54.0,54.0,6117.0
p95,3,a1_0,4959.0,18.0,18.0,4977.0
p95,4,a3_0,6117.0,15.0,18.0,6132.0
p96,1,a1_0,4977.0,30.0,30.0,5007.0
p96,2,a2_0,6117.0,54.0,54.0,6171.0
p96,3,a1_0,5007.0,18.0,18.0,5025.0
p96,4,a3_0,6171.0,15.0,15.0,6186.0
p97,1,a1_0,5025.0,36.0,36.0,5061.0
p97,2,a2_0,6171.0,54.0,54.0,6225.0
p97,3,a1_0,5061.0,18.0,18.0,5079.0
p97,4,a3_0,6225.0,15.0,18.0,6240.0
p98,1,a1_0,5079.0,36.0,36.0,5115.0
p98,2,a2_0,6225.0,45.0,45.0,6270.0
p98,3,a1_0,5115.0,15.0,15.0,5130.0
p98,4,a3_0,6270.0,15.0,18.0,6285.0
p99,1,a1_0,5130.0,36.0,30.0,5166.0
p99,2,a2_0,6270.0,54.0,45.0,6324.0
p99,3,a1_0,5166.0,15.0,18.0,5181.0
p99,4,a3_0,6324.0,18.0,18.0,6342.0
p100,1,a1_0,0.0,18.0,18.0,18.0
p100,2,a4_0,0.0,45.0,54.0,45.0
p100,3,a3_0,54.0,15.0,18.0,69.0
p100,4,a2_0,0.0,36.0,30.0,36.0
p100,5,a4_0,3663.0,18.0,18.0,3681.0
p101,1,a1_0,48.0,30.0,36.0,78.0
p101,2,a2_0,36.0,45.0,54.0,81.0
p101,3,a1_0,84.0,15.0,18.0,99.0
p101,4,a3_0,102.0,18.0,18.0,120.0
p102,1,a1_0,102.0,30.0,36.0,132.0
p102,2,a2_0,138.0,45.0,45.0,183.0
p102,3,a1_0,138.0,18.0,15.0,156.0
p102,4,a3_0,183.0,15.0,18.0,198.0
p103,1,a1_0,171.0,36.0,36.0,207.0
p103,2,a2_0,183.0,54.0,45.0,237.0
p103,3,a1_0,207.0,18.0,18.0,225.0
p103,4,a3_0,237.0,18.0,18.0,255.0
p104,1,a1_0,225.0,36.0,36.0,261.0
p104,2,a2_0,237.0,45.0,45.0,282.0
p104,3,a1_0,261.0,15.0,18.0,276.0
p104,4,a3_0,282.0,15.0,18.0,297.0
p105,1,a1_0,276.0,36.0,36.0,312.0
p105,2,a2_0,282.0,45.0,54.0,327.0
p105,3,a1_0,312.0,18.0,15.0,330.0
p105,4,a3_0,330.0,18.0,18.0,348.0
p106,1,a1_0,330.0,18.0,18.0,348.0
p106,2,a4_0,54.0,54.0,45.0,108.0
p106,3,a3_0,348.0,15.0,18.0,363.0
p106,4,a2_0,327.0,30.0,30.0,357.0
p106,5,a4_0,3681.0,18.0,15.0,3699.0
p107,1,a1_0,348.0,15.0,18.0,363.0
p107,2,a4_0,108.0,54.0,54.0,162.0
p107,3,a3_0,363.0,15.0,18.0,378.0
p107,4,a2_0,357.0,30.0,30.0,387.0
p107,5,a4_0,3699.0,15.0,18.0,3714.0
p108,1,a1_0,363.0,30.0,36.0,393.0
p108,2,a2_0,387.0,45.0,45.0,432.0
p108,3,a1_0,399.0,15.0,18.0,414.0
p108,4,a3_0,432.0,18.0,18.0,450.0
p109,1,a1_0,417.0,18.0,15.0,435.0
p109,2,a4_0,162.0,54.0,54.0,216.0
p109,3,a3_0,450.0,15.0,15.0,465.0
p109,4,a2_0,432.0,30.0,30.0,462.0
p109,5,a4_0,3714.0,15.0,15.0,3729.0
p110,1,a1_0,435.0,18.0,18.0,453.0
p110,2,a4_0,216.0,45.0,45.0,261.0
p110,3,a3_0,465.0,18.0,18.0,483.0
